name,angle,grade,placements,ascents,hold_count,quality_average
swooped,0,14.8857,"[{'x': 20, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 15}, {'x': 8, 'y': 3, 'type': 'FEET-ONLY', 'ledPosition': 143}, {'x': 16, 'y': 5, 'type': 'START', 'ledPosition': 244}, {'x': 12, 'y': 7, 'type': 'START', 'ledPosition': 191}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 8, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 131}, {'x': 16, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 233}, {'x': 12, 'y': 23, 'type': 'MIDDLE', 'ledPosition': 179}, {'x': 8, 'y': 29, 'type': 'MIDDLE', 'ledPosition': 124}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 14, 'y': 35, 'type': 'FINISH', 'ledPosition': 221}]",35,12,2.68571
swooped,5,12.0,"[{'x': 20, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 15}, {'x': 8, 'y': 3, 'type': 'FEET-ONLY', 'ledPosition': 143}, {'x': 16, 'y': 5, 'type': 'START', 'ledPosition': 244}, {'x': 12, 'y': 7, 'type': 'START', 'ledPosition': 191}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 8, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 131}, {'x': 16, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 233}, {'x': 12, 'y': 23, 'type': 'MIDDLE', 'ledPosition': 179}, {'x': 8, 'y': 29, 'type': 'MIDDLE', 'ledPosition': 124}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 14, 'y': 35, 'type': 'FINISH', 'ledPosition': 221}]",2,12,2.0
swooped,10,15.8571,"[{'x': 20, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 15}, {'x': 8, 'y': 3, 'type': 'FEET-ONLY', 'ledPosition': 143}, {'x': 16, 'y': 5, 'type': 'START', 'ledPosition': 244}, {'x': 12, 'y': 7, 'type': 'START', 'ledPosition': 191}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 8, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 131}, {'x': 16, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 233}, {'x': 12, 'y': 23, 'type': 'MIDDLE', 'ledPosition': 179}, {'x': 8, 'y': 29, 'type': 'MIDDLE', 'ledPosition': 124}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 14, 'y': 35, 'type': 'FINISH', 'ledPosition': 221}]",133,12,2.67669
swooped,15,15.9526,"[{'x': 20, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 15}, {'x': 8, 'y': 3, 'type': 'FEET-ONLY', 'ledPosition': 143}, {'x': 16, 'y': 5, 'type': 'START', 'ledPosition': 244}, {'x': 12, 'y': 7, 'type': 'START', 'ledPosition': 191}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 8, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 131}, {'x': 16, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 233}, {'x': 12, 'y': 23, 'type': 'MIDDLE', 'ledPosition': 179}, {'x': 8, 'y': 29, 'type': 'MIDDLE', 'ledPosition': 124}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 14, 'y': 35, 'type': 'FINISH', 'ledPosition': 221}]",190,12,2.70526
swooped,20,16.1127,"[{'x': 20, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 15}, {'x': 8, 'y': 3, 'type': 'FEET-ONLY', 'ledPosition': 143}, {'x': 16, 'y': 5, 'type': 'START', 'ledPosition': 244}, {'x': 12, 'y': 7, 'type': 'START', 'ledPosition': 191}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 8, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 131}, {'x': 16, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 233}, {'x': 12, 'y': 23, 'type': 'MIDDLE', 'ledPosition': 179}, {'x': 8, 'y': 29, 'type': 'MIDDLE', 'ledPosition': 124}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 14, 'y': 35, 'type': 'FINISH', 'ledPosition': 221}]",346,12,2.7341
swooped,25,17.5414,"[{'x': 20, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 15}, {'x': 8, 'y': 3, 'type': 'FEET-ONLY', 'ledPosition': 143}, {'x': 16, 'y': 5, 'type': 'START', 'ledPosition': 244}, {'x': 12, 'y': 7, 'type': 'START', 'ledPosition': 191}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 8, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 131}, {'x': 16, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 233}, {'x': 12, 'y': 23, 'type': 'MIDDLE', 'ledPosition': 179}, {'x': 8, 'y': 29, 'type': 'MIDDLE', 'ledPosition': 124}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 14, 'y': 35, 'type': 'FINISH', 'ledPosition': 221}]",133,12,2.73684
swooped,30,17.7627,"[{'x': 20, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 15}, {'x': 8, 'y': 3, 'type': 'FEET-ONLY', 'ledPosition': 143}, {'x': 16, 'y': 5, 'type': 'START', 'ledPosition': 244}, {'x': 12, 'y': 7, 'type': 'START', 'ledPosition': 191}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 8, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 131}, {'x': 16, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 233}, {'x': 12, 'y': 23, 'type': 'MIDDLE', 'ledPosition': 179}, {'x': 8, 'y': 29, 'type': 'MIDDLE', 'ledPosition': 124}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 14, 'y': 35, 'type': 'FINISH', 'ledPosition': 221}]",1340,12,2.7709
swooped,35,18.0855,"[{'x': 20, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 15}, {'x': 8, 'y': 3, 'type': 'FEET-ONLY', 'ledPosition': 143}, {'x': 16, 'y': 5, 'type': 'START', 'ledPosition': 244}, {'x': 12, 'y': 7, 'type': 'START', 'ledPosition': 191}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 8, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 131}, {'x': 16, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 233}, {'x': 12, 'y': 23, 'type': 'MIDDLE', 'ledPosition': 179}, {'x': 8, 'y': 29, 'type': 'MIDDLE', 'ledPosition': 124}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 14, 'y': 35, 'type': 'FINISH', 'ledPosition': 221}]",304,12,2.84211
swooped,40,18.545,"[{'x': 20, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 15}, {'x': 8, 'y': 3, 'type': 'FEET-ONLY', 'ledPosition': 143}, {'x': 16, 'y': 5, 'type': 'START', 'ledPosition': 244}, {'x': 12, 'y': 7, 'type': 'START', 'ledPosition': 191}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 8, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 131}, {'x': 16, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 233}, {'x': 12, 'y': 23, 'type': 'MIDDLE', 'ledPosition': 179}, {'x': 8, 'y': 29, 'type': 'MIDDLE', 'ledPosition': 124}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 14, 'y': 35, 'type': 'FINISH', 'ledPosition': 221}]",1123,12,2.80232
swooped,45,19.8571,"[{'x': 20, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 15}, {'x': 8, 'y': 3, 'type': 'FEET-ONLY', 'ledPosition': 143}, {'x': 16, 'y': 5, 'type': 'START', 'ledPosition': 244}, {'x': 12, 'y': 7, 'type': 'START', 'ledPosition': 191}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 8, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 131}, {'x': 16, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 233}, {'x': 12, 'y': 23, 'type': 'MIDDLE', 'ledPosition': 179}, {'x': 8, 'y': 29, 'type': 'MIDDLE', 'ledPosition': 124}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 14, 'y': 35, 'type': 'FINISH', 'ledPosition': 221}]",973,12,2.7554
